Ё,2
А,1284
Б,1763
В,552
Г,1042
Д,808
Е,107
Ж,397
З,900
И,344
Й,4
К,2382
Л,726
М,1324
Н,500
О,808
П,2000
Р,606
С,1896
Т,1046
У,286
Ф,190
Х,298
Ц,245
Ч,682
Ш,290
Щ,162
Э,238
Ю,148
Я,227
